Transcript,Sentiment
" AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER
",POSITIVE
" NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME
",POSITIVE
"I MEAN THAT WAS IMPRESSIVE 
",POSITIVE
"I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS 
",POSITIVE
"BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT
",NEGATIVE
" UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE 
",POSITIVE
" BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT
",POSITIVE
"IT REMINDED ME OF GETTING UP ON A SATURDAY MORNING AND EATING FRUIT LOOPS AND UM WATCHING CARTOONS
",POSITIVE
" BUT YOU KNOW FOR THIS ONE I JUST DIDNT CARE
",NEGATIVE
"UM I SAW NO REASON WHY THEY NEEDED TO BRING BACK THE VILLAIN FROM THE FIRST ONE
",NEGATIVE
"AND UM WHILE THE TRAILER MADE THE FILM LOOK REAL NICE AND CUTE 
",NEGATIVE
" IT WAS JUST FLAT
",NEGATIVE
" UM IM SURE KIDS ARE GONNA LOVE IT
",POSITIVE
" KIDS ARE GONNA LOVE THE FILM
",POSITIVE
" BUT FOR ME I WAS JUST A LITTLE BORED
",NEGATIVE
"SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM
",POSITIVE
"BUT OTHERWISE I DONT KNOW
",NEGATIVE
" I DIDNT EVEN CARE FOR IT
",NEGATIVE
"AND I THOUGHT THEY WERE AVERAGE
",NEGATIVE
" LETS FACE IT THEY ARE REALLY NOT MASTER PIECES
",NEGATIVE
"I THOUGHT TWILIGHT DIRECTED BY CATHERINE HARDWICKE WAS ACTUALLY REALLY RATHER ENJOYABLE
",POSITIVE
"UM I MEAN OBVIOUSLY IT HAD ITS FLAWS
",NEGATIVE
" BUT CINEMATICLY I THOUGHT IT WAS GOOD QUITE GOOD
",POSITIVE
" IT WASIT WAS ENJOYABLE
",POSITIVE
"I WASNT THINKING ON HEARING THAT CHRIS WEITZ WAS GONNA START THE NEW MOON BECAUSE OF THE DESTRUCTION THAT WAS PHILLIP PULLMAN THE GOLDEN COMPASS
",NEGATIVE
"I THOUGHT THAT FILM WAS AWFUL
",NEGATIVE
"AND I I DIDINT REALLY KNOW WHAT TO EXPECT FROM NEW MOON UM IN TERMS OF HIS DIRECTION
",NEGATIVE
"OVERALL NEW MOON WAS IT WAS OK JUST AVERAGE
",POSITIVE
" THE THING IS ITS A VERY GOOD TRANSLATION OF THE BOOK
",POSITIVE
" ITS VERY VERY LOYAL TO THE BOOK 
",POSITIVE
"AND I REALLY APPRECIATE THAT LOYALTY
",POSITIVE
"UM HOWEVER IT IS THIS LOYALTY TO THE ORIGINAL SOURCE THAT GIVES IT ITS FLAWS
",NEGATIVE
"AND THE BOOK IS NOT NECESSARILY THE MOST THRILLING BOOK EVER
",NEGATIVE
" I MEAN THE ENTIRE XXX IS BELLA SWAN KRISTEN KRISTENS STEWARDS CHARACTER MOBBING AROUND COMPLETELY DEPRESSED
",NEGATIVE
" IT WASNT REALLY THE BEST THE MOST THRILLING READ EVER ILL SAY THAT
",NEGATIVE
"SO OVERALLNEW MOON EVEN WITH THE BIGGER BETTER BUDGETS HUH IT WAS STILL TOO LONG 
",NEGATIVE
" THE ANGSTY TOO ANGSTY MOMENTS WITHDRAWN OUT TO THE MAX AS FAR AS THAY CAN GO
",NEGATIVE
"AND THE SCRIPT IT LEFT ALL THE KEY PLOTS AND EMOTION FROM THE CHARACTERS TO BE EXPOSED THROUGH DIALOGUE
",POSITIVE
" I THINK IT WAS EMPIRE MAGAZINES REVIEW OF NEW MOON THAT SAID THAT KRISTEN RELIED HEAVILY ON THE TACTIC OF TACTIC OF BLINKING A LOT WHICH SHE REALLY DOES DO A LOT
",NEGATIVE
"BUT AT THE SAME GOES FOR ROB PATTINSON AS EDWARD AND TAYLOR LAUTNER AS JACOB THEY DO A LOT OF FROWNING IM A MANLY MAN AND I FROWN
",NEGATIVE
"FOR THE MOMENT IN THIS THE WHOLE CINEMA WAS LAUGHTING
",POSITIVE
"AND YOU KNEW YOU SHOULDNT BE LAUGHING
",NEGATIVE
" MY FAVORITE SCENE WOULD DEFINATELY BE THE VOLTURI
",POSITIVE
" UM THEN MY WINS ON SCREEN WISKERS I MEAN THEY WERE REALLY WORN IN A LOTS WHICH IS A SHAME BECAUSE I THOUGHT XXX REALLY RATHER GOOD 
",NEGATIVE
"AND UM MICHAEL SHEEN AS ARO AS WELL HE WAS RATHER ENJOYABLE TO WATCH
",POSITIVE
" AND I THINK THE VOLTURI THAT WAS MY EXCITING BIT OF THE ENTIRE FILM
",POSITIVE
"THE REST OF THE FILM WAS JUST WATCHING KRISTEN JUST MOB AROUND 
",NEGATIVE
"AND THAT WAS REALLY BORING
",NEGATIVE
" BEFORE I WENT IN TO SEE THE GREEN LANTERN IVE BEEN HEARING ALL THESE LIKE CRITICS BASICALLY JUST TRASHING THIS MOVIE LEFT AND RIGHT 
",NEGATIVE
"BUT I AT THE SAME TIME I DO WANNA JUST SAY THAT I ENJOYED THIS MOVIE
",POSITIVE
" I ENJOYED IT FOR WHAT IT WAS YOU KNOW
",POSITIVE
" ITS A HUGE SORT OF SPECTACLE MOVIE THAT IS GREAT FOR THIS SUMMER TIME YOU KNOW
",POSITIVE
"THIS IS A MOVIE THAT YOURE GONNA GO OUT AND SEE
",POSITIVE
"AND YOU WANNA SEE IT IN 3D 
",POSITIVE
"BECAUSE I I WOULD ACTUALLY SAY THIS PROBABLY IS ONE OF THE FIRST MOVIES THIS YEAR THAT IVE SEEN THIS YEAR THAT YOU WANNA SEE IN 3D ESPECIALLY FOR JUST THE OPENING PORTION
",POSITIVE
"IT LOOKS REALLY GOOD
",POSITIVE
"AND THE REST OF IT DOES LOOK GOOD AS WELL
",POSITIVE
"AND I JUST HAD FUN WATCHING THIS MOVIE
",POSITIVE
"ITS NOT LIKE A DARK MOVIE OR ANYTHING
",POSITIVE
"ITS VERY MUCH A LIGHT HEARTED 
",POSITIVE
"SO ITS PERFECT FOR KIDS AS WELL AS JUST LIKE TEENAGERS AS WELL WHO JUST WANNA SEE A LOT OF EXPLOSIONS AND SOME CRAZY STUFF 
",POSITIVE
"AND YOU KNOW GOING INTO IT OR THESE WATCHING THE TRAILERS BEFORE HEAD I WAS REALLY KIND OF HESITANT ABOUT SEEING THE GREEN LANTERN IN THE FIRST PLACE 
",NEGATIVE
"BECAUSE IT LOOKS LIKE A CARTOON
",NEGATIVE
" IM NOT REALLY A HUGE FAN OF HAVING LIKE ALL THESE 3D CHARACTERS
",NEGATIVE
"BECAUSE I THINK WHY NOT JUST MAKE THIS YOU KNOW MOVIE THIS LIVE ACTION MOVIE AND TALK CARTOON
",NEGATIVE
"THATS REALLY THE ROUTE THAT YOURE GONNA GO 
",POSITIVE
" BUT I THINK THERE WAS ALSO SOME SORT OF LIKE UM TONE WITHIN THE ACTUAL UM POWERS OF THE GREEN LANTERN AND HIMSELF AND THAT YOU CAN BASICALLY THINK UP OF ANYTHING AND YOU CAN PROJECT THAT INTO THE REAL LIFE 
",POSITIVE
"AND I THINK HAVING THIS SORT OF SUPERPOWER ALMOST THIS POWER TO JUST IMAGINE ANYTHING KIND OF JUST UM HELPED ME GET PASSED THAT YOU KNOW THESE ARE ALL CGI CHARACTERS AND SET
",POSITIVE
"THIS IS A PLAYGROUND AND THEIR IMAGINARY PLAYGROUND AND ANYTHING CAN HAPPEN ANYTHING THAT WHAT ALSO MADE THE FILM EXCITING
",POSITIVE
"BECAUSE YOU DONT ENTIRELY KNOW WHATS COMING NEXT
",POSITIVE
"BUT THEN YOU KIND OF LIKE WALK OUT OF THE MOVIE AND YOURE LIKE WELL I I GET WHAT HAPPENED I UNDERSTAND WHAT HAPPENED
",NEGATIVE
"BUT WHAT WHAT WOULD YOU DO FOR GREEN LANTERN MOVIE 2 THAT WOULD BE EVEN LIKE WORTH WHILE NOW 
",NEGATIVE
"AND IT DOES KIND OF A LEA HELPS ALLEVIATE WHAT THAT WHOLE WAS IS ABOUT FIGHTING THE ULTIMATE ENEMY WITHIN THIS FIRST MOVIE AND THAT THE THREAT IS STILL THERE POTENTIALLY SPEAKING
",POSITIVE
" SO ITS KIND OF INTERESTING TO SEE UM WHERE THEYRE GONNA BE GOING WITH THAT
",POSITIVE
" IM LOOKING FORWARD TO IT IVE GOT TO SAY
",POSITIVE
"ITS NOT LIKE THE GREEN LANTERN IS THE NEXT BATMAN BEGINS OR OR THE DARK NIGHTER 
",NEGATIVE
" MUCH SAY THAT I REALLY ENJOYED COWBOYS AND ALIENS
",POSITIVE
"THERE WAS A LOT OF FUN
",POSITIVE
" IF YOURE EXPECTING SOME ARTSY SERIOUS OSCAR CONTENDER THAN YOURE WRONG
",NEGATIVE
" BECAUSE THE CINEMATOGRAPHY IN THIS MOVIE IS GREAT
",POSITIVE
"AND MAYBE BEST VISUAL EFFECTS
",POSITIVE
"COZ THE VISUAL EFFECTS ARE PRETTY COOL
",POSITIVE
"BUT AGAIN YOU YOU CANT EXPECT A HUGE LIKE SURREAL MIND BENDER FROM THE MOVIE CALLED COWBOYS AND ALIENS YO
",NEGATIVE
"AND ITS SATISFACTORY
",POSITIVE
"THE ACTION IS REALLY INTENSE WHICH SURPRISED ME 
",POSITIVE
"I DIDNT EXPECT THE ACTION TO BE SO INTENSE
",POSITIVE
" THERES SOME REALLY INTENSE ACTION SCENES ESPECIALLY THE SCENE WHEN THE ALIENS FIRST INVADE
",POSITIVE
" THAT SCENE IS LIKE CRAZY
",POSITIVE
"IT GAVE ME CHILLS 
",POSITIVE
"I ITS A LOT OF FUN
",POSITIVE
"THE ACTION IS REALLY COOL
",POSITIVE
" THE ALIENS ARE REALLY COOL
",POSITIVE
" ONE THING I LIKE WITH THE ALIENS IS THAT A THEY ARE NOT JUST WEAK LINKS THAT HIDE BEHIND THE TECHNOLOGY
",POSITIVE
"THEY ARE HUGE 
",POSITIVE
"THEYRE REALLY STRONG
",POSITIVE
" AND THEYRE KIND OF SCARY LOOKING
",NEGATIVE
"AND ALSO I LIKE HOW ITS KIND OF UPFRONT TO SHOW THEM TO US INSTEAD OF HIDING THEM LIKE SHOWING A LITTLE LIKE AN ARM ON SCENE OR SOMETHING NO THEY JUST STRAIGHT UP SHOW IT TO US
",POSITIVE
" AND I REALLY ENJOYED THAT
",POSITIVE
"I IT WAS REALLY COOL WHEN THEY DID THAT
",POSITIVE
"COZ THE ALIENS WERE REALLY COOL LOOKING
",POSITIVE
" DANIEL CRAIG DOES A VERY GOOD JOB HERE 
",POSITIVE
"HE KIND OF CHANNELS THE MAN WITH NO NAME CLINT EASTWOOD 
",POSITIVE
"AND A LOT OF PEOPLE HAVE BEEN SAYING THAT
",NEGATIVE
" I THINK HE DOES A GREAT JOB AT WHAT HE DOES
",POSITIVE
"HES A REALLY BAD ASS
",POSITIVE
"IS REALLY REALLY HARD CORE
",POSITIVE
" HE DOESNT TAKE CRAP FROM ANYBODY
",POSITIVE
"AND HE DOES A REALLY GOOD JOB
",POSITIVE
" ALSO HIS INNOCENT ACCENT IS PRETTY CONVINCING
",POSITIVE
" HARRISON FORD IS ALSO GOOD
",POSITIVE
" HES HE GIVES AN ENTERTAINING PERFORMANCE AS THE KIND OF LIKE THE LEADER THE OF THE TOWN
",POSITIVE
"AT FIRST HES JUST KIND OF LIKE GRUMPY OLD GUY 
",NEGATIVE
"BUT HE BECOMES MORE LIKEABLE
",POSITIVE
"HIS GUTS DEVELOPED MORE AS MORE LIKEABLE CHARACTER
",POSITIVE
"AND ALSOUM OLIVIA WILD SHES PRETTY GOOD
",POSITIVE
"SHES BEAUTIFUL
",POSITIVE
" AND SHES NOT A BAD ACTOR 
",POSITIVE
"SHES ACTUALLY PRETTY GOOD
",POSITIVE
" THERE ARE SOME FLAWS HERE
",NEGATIVE
"AND THERE BUT THEYRE NOT HUGE GLARING FLAWS
",NEGATIVE
"BUT THEY ARE NOTICABLE FLAWS
",NEGATIVE
"SUCH AS SOMETIMES THE ALIENS IN THE WESTERN SETTING DO LOOK A LITTLE GOOFY 
",NEGATIVE
"I WASNT A HUGE FAN OF IT
",NEGATIVE
"I JUST THOUGHT IT WAS KIND OF STUPID 
",NEGATIVE
"AND SOMETIMES IT KIND OF VEERS INTO CLICHE ACTION MOVIE TERRITORY
",NEGATIVE
"LIKE A MOVIE CALLED COWBOYS AND ALIENS A LOT OF PEOPLE WOULD THINK WOULD BE KIND OF LIKE CRAZY 
",NEGATIVE
" BUT SOMETIMES IT JUST VEERS ENTIRELY CLICHE ACTION MOVIE TERRITORY AGAIN
",NEGATIVE
"NOT A HUGE FLAW BUT ITS THERE AND ITS NOTICABLE
",NEGATIVE
" OVERALL I REALLY ENJOYED COWBOYS AND ALIENS
",POSITIVE
"AND IM GONNA GIVE IT AN EIGHT OUT OF TEN
",POSITIVE
"IT WAS REALLY FUN
",POSITIVE
" A VERY GOOD TIME
",POSITIVE
"AND I DEFINATELY RECOMMEND YOU CHECK IT OUT IN THEATERS
",POSITIVE
"ANYHOW IT WAS REALLY GOOD 
",POSITIVE
"THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED
",NEGATIVE
" I MEAN THEY DID A LITTLE BIT OF IT 
",NEGATIVE
" BUT NOT A WHOLE BUNCH 
",NEGATIVE
"AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD
",POSITIVE
" OH MY GOD A LOT OF ACTION
",POSITIVE
"THERE IS SAD PART
",NEGATIVE
"A LOT OF SAD PARTS 
",NEGATIVE
"BUT IT WAS REALLY REALLY AWESOME
",POSITIVE
"AND ITS A REALLY FUNNY 
",POSITIVE
" PROBABLY ONE OF THE BALLSIEST PROBABLY ONE OF THE BALLSIEST FIMS OD SUNDANCE 2011
",POSITIVE
" UM AS REALLY THE BEST WAY TO DESCRIBE THIS FILM IS ITS BIG
",POSITIVE
" ITS BOLD
",POSITIVE
"ITS STRONG
",POSITIVE
"IT MAKES BIG POWERFULS STATEMENTS
",POSITIVE
" IT DOESNT HOLD BACK 
",POSITIVE
"EVERYTHING FROM THE WAY ITS BEING RELEASED TO THE PERFORMANCES AND TO THE STORY ITSELF IS ABSOLUTELY OVRT THE TOP IMPRESSIVE
",POSITIVE
"AND REALLY WELL DONE
",POSITIVE
"ITS A HUGE BREAK THROUGH FOR KEVIN SMITH
",POSITIVE
" ITS COMPLETELY DIFFERENT FROM ANYTHING WEVE EVER SEEN HIM DO BEFORE
",POSITIVE
"JOHN GOODMAN ABSOLUTELY AMAZING
",POSITIVE
"MELISSA LEO WILL HAVE YOU CREEPED OUT TO YOUR INNER CORE WITH HER TINY LITTLE SMILE
",POSITIVE
" ITS SO WELL DONE
",POSITIVE
" FOR ALL OF THOSE PEOPLE WHO ARE HATING ON IT I DONT KNOW WHAT THEY ARE COMPLAINING ABOUT IT
",POSITIVE
"ITS A HORROR FILM IA A TRUE SENSE
",POSITIVE
"AND IT IS ABSOLUTELY HORRIFYING
",NEGATIVE
" UM IT IS IT IS DEFINATELY ONE OF THOSE FILMS THATS NOT GONNA BE EASY FOR YOU TO FIND
",POSITIVE
" ITS BEING RELEASED IN A VERY INTERESTING WAY
",POSITIVE
" WHENEVER IT COMES TO YOUR TOWN DO NOT MISS IT
",POSITIVE
"ITS EXTREMLY WELL MADE 
",POSITIVE
"ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY 
",POSITIVE
"ITS EXTREMLY DARE I SAY FUN TO WATCH IN A REALLY MESSED UP KIND OF WAY AND EVEN NOW ITS A HORROR FILM
",POSITIVE
"ITS DEFINATELY GOT SOME FUN KEVIN SMITH MOMENTS IN IT FOR YOU TO LAUGH WITH UM
",POSITIVE
"YEAP ABSOLUTELY NOT TO BE MISSED
",POSITIVE
"AND SO I WAS KIND OF CURIOUS TO SEE MAYBE IF THAT WAS WHAT DISNEY WAS GOING FOR AND IT DEFINATELY WAS WHAT THAY WERE GOING FOR
",POSITIVE
"BUT I BET IF YOU PUT THEM NEXT TO THE NEW FILM THAT THE STYLE WOULD BE SIMILAR ENOUGH THAT YOU WOULDNT BE ABLE TO REALLY TELL WHAT THE DIFFERENCE IS
",POSITIVE
" UM ITS ITS GREAT IF YOU REMEMBER THAT WAS OLD FILMS 
",POSITIVE
" WOULD BE GREAT FOR KIDS TOO
",POSITIVE
"WEVE GOT GREAT JOKES
",POSITIVE
" UM FUNNY JOKES THAT THE KIDS WOULD GET
",POSITIVE
"UM I LOVE THE SCENE WHERE EEYORE AND POOH THINK THAT OWL IS GETTING SICK
",POSITIVE
"BECAUSE HE SAYS ISSUE AND THEY THINK HE IS SAYING AT YOU
",NEGATIVE
"UM THAT WAS PROBABLY PART OF THE TRAILER THAT GOT ME TO GO AND SEE THE MOVIE
",POSITIVE
"BEACUSE I WANTED TO SEE HOW THEY COULD FRAME THAT 
",POSITIVE
"SO UM IF YOU HAVENT SEEN WINNIE THE POOH AND YOU LIKE FAMILY FILMS GO SEE IT
",POSITIVE
"ITS A GREAT ONE
",POSITIVE
" I DEFINATELY RECOMMEND IT
",POSITIVE
" I JUST GOT FINISHED WATCHING AN EXCELLENT MOVIE CALLED MARS NEEDS MOMS
",POSITIVE
"AND MY FAVORITE CHARACTERS IN THE MOVIE WOULD HAVE TO BE MILO MILOS MOTHER AND GRIBBLE
",POSITIVE
"I LIKED GRIBBLE BECAUSE HE HELPED MILO GET MILOS MOTHER AWAY FROM THE ALIANS
",POSITIVE
"WHICH I THOUGHT WAS AWESOME
",POSITIVE
" AND MY FAVORITE PART IN THE MOVIE WAS WHEN MILO HAS TO SAVE GRIBBLE
",POSITIVE
"AND I WOULD RECOMMEND THIS MOVIE FOR AGES 3 AND UP
",POSITIVE
"BECAUSE IT IS A GOOD MOVIE
",POSITIVE
"AND IT DEPENDS WHAT AGE YOU ARE AND HOW YOU TO HOW YOU FEEL LIKE SEE THE MOVIE
",POSITIVE
" LIKE FOR EXAMPLE MY BROTHER IS FIVE YEARS OLD AND HE DIDNT THINK THIS MOVIE WAS SCARY AT ALL
",NEGATIVE
" I AM EIGHT YEARS OLD AND I THOUGHT IT WAS REALLY S KIND OF SCARY
",POSITIVE
"AND I THINK I WHY I WOULD BE SCARED IS BECAUSE I WOULD FEEL SCARED AND KIND OF SAD IF I LOST MY OWN MOTHER
",NEGATIVE
"BUT IT ALL TURNS OUT GREAT IN THE END
",POSITIVE
"UM GRAPHICS WERE INCREDIBLE 
",POSITIVE
"UM SOME REALLY GOOD ACTING
",POSITIVE
"SOME REALLY SUCKY ACTING 
",NEGATIVE
"SO THIS WAS PRETTY FUNNY 
",POSITIVE
"COZ PEOPLE WERE LIKE EATING POPCORN AND YOU SEE THE FIRST SHOW AND PEOPLE YOU HEAR LIKE THIS THIS RIPPLE EFFECT OF WHISPERING OH MY GOD IS THAT A IS THAT AM I LOOKING AT THIS RIGHT WHAT 
",POSITIVE
"I THOUGHT THAT WAS REALLY FUNNY
",POSITIVE
"UM THERE COULDVE BEEN LESS BLUE NUDITY 
",NEGATIVE
"BECAUSE WHAT WAS WEIRD WAS THE FACT THAT IN PART OF THE MOVIE HES WEARING LIKE A BLUE UM OVERALL FLONG THING MEDAL FLONG THING SO I WAS LIKE WHY NOT WEAR THE WHOLE WHOLE TIME YOU KNOW WHY WHY YOU GOT TO GO COMMAND ON US 
",NEGATIVE
"IT WAS FUNNY THOUGH
",POSITIVE
" HES FUNNY
",POSITIVE
"ITS KIND OF WEIRD
",NEGATIVE
"I DONT KNOW CLASSIC SUPERHERO KIND OF GETTING ON KIND OF THING
",POSITIVE
"ALL RIGHT SO ENOUGH OF THE NUDITY
",NEGATIVE
"UM BUT WHAT SUCKED WHAT WAS BAD WAS MALIN AKERMAN THE GIRL WHO PLAYS THE SILK SPECTRE II
",NEGATIVE
"UM JUNIOR LADY GIRL I KNOW I I MEAN SHE LOOKED FAN FANTASTIC
",NEGATIVE
"SHE LOOKED PHENOMENAL
",POSITIVE
"SHE LOOKED LIKE A SUPERHERO
",POSITIVE
"BUT SHE ACTED LIKE POWER RANGER
",NEGATIVE
"AND THERES A VAST DIFFERENCE BETWEEN THOSE TWO THINGS 
",NEGATIVE
"ILL TELL YOU WHO MADE THE MOVIE
",POSITIVE
"WHO WAS JUST KICK ASS 100 OF TIME WAS THE GUY THAT PLAYED OUR RORSCHACH
",POSITIVE
"BUT ANYWAYS HE WAS AWESOME
",POSITIVE
" I THOUGHT THAT WAS VERY COOL
",POSITIVE
"UM HE WAS AWESOME
",POSITIVE
"LIKE HE WAS INCREDIBLE
",POSITIVE
" THE OTHER GUY THAT DID A REALLY GOOD JOB WAS UM JEFFREY DEAN MORGAN
",POSITIVE
" HE DID A VERY GOOD JOB 
",POSITIVE
" VERY DARK
",NEGATIVE
"UM I REALLY LIKED SICKO GUY 
",NEGATIVE
" BUT UM HE DID A REALLY GOOD JOB AT ACTING
",POSITIVE
" I WAS VERY IMPRESSED
",POSITIVE
" SO OVERALL ITS ITS LIKE A BLEND OF YOUVE GOT ALTERNATIVE HISTORY
",POSITIVE
"AND ITS VERY VERY INTERESTING
",POSITIVE
" UM BUT ITS EXTREMELY DARK
",NEGATIVE
" I WARN YOU ITS A VERY VERY DARK 
",NEGATIVE
"AND UM THERES NOT IN MY OPINION THERE WASNT VERY MUCH OF A BALANCE BETWEEN SORT OF LIKE THE GOOD EVIL KIND OF THING
",NEGATIVE
"AND IT SEEMED LIKE EVERYTHING WAS SORT OF OVERWHELMINGLY BAD
",NEGATIVE
" UM SO AT THE END THERES NOT REALLY A WHOLE LOT OF REDEEMING VALUE THAT I THINK YOU COME UP WITH
",NEGATIVE
" BUT UM YOU KNOW OVERALL IT WAS GOOD
",POSITIVE
" UM IM GONNA GIVE THE REASONS WHY I LIKE HIM 
",POSITIVE
"BUT MOSTLY IM GONNA GIVE THE REASONS OF WHY I DONT THINK HES GONNA BE A CLASSIC IN THE SAME WAY AS THE FIRST MOVIE PREDATOR OR ALIENS
",NEGATIVE
"UM WHICH I THINK RODRIGEZ WAS GOING FOR HE TH TH HE ALWAYS SAID THAT HE WAS GONNA DO THE SEQUEL UM HE WANTED THIS TO BE UM TH THE PREDATOR EQUIVALENT OF ALIENS
",NEGATIVE
"UM AS UM YOU KNOW AS ALIENS WAS TO ALIEN 
",NEGATIVE
"UM AND IM GONNA REALLY POINT OUT WHY THAT I DONT THINK HE REALLY PULLED HE PULLED THAT OFF
",NEGATIVE
"UM WHY WAS A MISTAKE REALLY TO TRY AND DO THAT 
",NEGATIVE
"UM BUT I DID ENJOY IT
",POSITIVE
" SO UM IM GONNA POINT OUT THE STUFF I DID LIKE THERE WERE SOME ACTION SCENES IN IT
",POSITIVE
